kyc_verified,account_age_days,transaction_amount,hour,day,weekday,channel_atm,channel_mobile,channel_pos,channel_web,avg_txn_per_customer,txns_count_per_customer,amt_deviation,high_amount_flag,is_night,is_weekend,is_fraud
1,0.7203077952492473,0.48665338508178446,5,22,4,0,0,1,0,29839.333333333332,6,110370.66666666667,0,1,0,0
1,0.7862161257945801,0.03594749881611761,20,16,5,0,0,0,1,10137.666666666666,6,1195.333333333334,0,0,0,0
1,0.4128471060555369,0.007193696377541972,10,12,1,0,0,0,1,52449.142857142855,7,-49338.142857142855,0,0,0,0
1,0.057878889260622284,0.009945975934725019,13,22,4,0,1,0,0,20249.0,11,-16351.0,0,0,0,0
1,0.9330879892940782,0.009438885037912386,14,10,6,1,0,0,0,37816.77777777778,9,-34063.77777777778,0,0,0,0
1,0.8869187019069923,0.007092278198179445,11,15,4,0,0,1,0,23977.5,6,-20895.5,0,0,0,0
1,0.5366343258614921,0.02195878442128636,14,11,0,0,0,0,1,38628.8,10,-31295.800000000003,0,0,0,0
1,0.7380394780863164,0.0071867020203445564,17,4,0,0,1,0,0,11792.3,10,-8683.3,0,0,0,0
1,0.817999330879893,0.027641699644186557,1,19,1,0,1,0,0,11343.5,10,-2385.5,0,1,0,0
0,0.31013716962194715,0.027627710929791723,1,18,0,0,1,0,0,60669.4,10,-51715.4,0,1,0,0
0,0.9762462361993978,0.022441395067908036,21,18,0,0,1,0,0,55671.28571428572,7,-48200.28571428572,0,0,0,0
1,0.9682167949146872,0.04246623972410898,5,21,3,0,1,0,0,34863.4,10,-21666.4,0,1,0,0
1,0.7962529274004684,0.03980488681049233,13,5,1,0,1,0,0,40738.4,5,-28302.4,0,0,0,0
1,0.2964202074272332,0.011729537020066006,20,13,2,0,1,0,0,29839.333333333332,6,-25431.333333333332,0,0,0,0
1,0.9675476748076279,0.03748276022095034,12,17,6,0,1,0,0,10641.625,8,1130.375,0,0,0,0
0,0.5413181666109066,0.3404048732624224,10,25,0,0,0,0,1,61606.857142857145,7,36784.142857142855,0,0,0,0
0,0.9243894279023085,0.02737241689208605,18,18,0,0,0,0,1,71446.0,7,-62565.0,0,0,0,0
1,0.10639009702241552,0.010040399756890132,7,1,4,0,1,0,0,29221.81818181818,11,-25296.81818181818,0,0,0,0
1,0.13549682167949145,0.014076143859798947,15,18,0,0,0,1,0,8178.857142857143,7,-3099.857142857143,0,0,0,0
1,0.06457009033121444,0.04999216806852819,8,17,6,1,0,0,0,40039.583333333336,12,-24690.583333333336,0,0,0,0
1,0.391435262629642,0.028414576114500982,14,16,5,0,1,0,0,49683.7,10,-40504.7,0,0,0,0
0,0.8280361324857812,0.009687184718420644,9,18,0,0,1,0,0,49033.83,13,-45209.83,0,0,0,0
1,0.2499163599866176,0.2582561479787759,21,19,1,1,0,0,0,21939.166666666668,6,52961.83333333333,0,0,0,0
1,0.3690197390431582,0.06487266300602994,17,19,1,0,0,0,1,29518.666666666668,9,-9914.666666666668,0,0,0,0
1,0.5473402475744396,0.015632388336223924,0,23,5,0,1,0,0,49566.0,9,-44042.0,0,1,0,0
0,0.29140180662428905,0.06372209124705507,14,10,6,0,0,1,0,44718.555555555555,9,-25443.555555555555,0,0,0,0
0,0.3593174974907996,0.10161052418545552,1,12,1,0,0,1,0,49851.75,4,-19742.75,0,1,0,1
1,0.6942121110739378,0.03393312394326191,17,23,5,0,0,1,0,41604.71428571428,7,-30847.714285714283,0,0,0,0
1,0.7410505185680829,0.5862984948947662,2,1,4,0,1,0,0,100604.81818181818,11,68098.18181818182,0,1,0,1
1,0.7139511542321847,0.02563431912852827,21,2,5,0,1,0,0,53213.57142857143,7,-44829.57142857143,0,0,0,0
1,0.1759785881565741,0.015996094910489537,22,18,0,0,1,0,0,12006.2,5,-6378.200000000001,0,1,0,0
1,0.6617597858815657,0.01182046366363241,21,17,6,0,1,0,0,21607.5,6,-17173.5,0,0,0,0
1,0.5971896955503513,0.02190632674230574,21,22,4,0,0,0,1,9133.4,10,-1815.3999999999996,0,0,0,0
0,0.40715958514553363,0.5494941873219651,5,17,6,1,0,0,0,24191.625,8,133987.375,0,1,0,0
1,0.09200401472064235,0.02361994425567257,13,10,6,0,0,0,1,5946.0,7,1862.0,0,0,0,0
1,0.3258614921378387,0.6582354586701858,16,14,3,0,0,0,1,49683.7,10,139589.3,0,0,0,1
1,0.18634994981599196,0.011554678090130614,8,19,1,0,0,0,1,6857.875,8,-2499.875,0,0,0,0
1,0.7122783539645366,0.013040978994581433,1,25,0,0,1,0,0,39722.4,5,-34939.4,0,1,0,0
1,0.15289394446303112,0.011652599090894434,18,25,0,0,0,0,1,63014.875,8,-58628.875,0,0,0,0
1,0.3549682167949147,0.041007916248447816,15,23,5,0,1,0,0,25767.0,6,-12987.0,0,0,0,0
1,0.9705587152893944,0.05470636481958632,22,4,0,1,0,0,0,52916.63636363636,11,-36219.63636363636,0,1,0,0
0,0.7892271662763466,0.05972831328733074,5,14,3,0,1,0,0,10487.222222222223,9,7645.777777777777,0,1,0,0
1,0.11809969889595182,0.6945571555963652,17,25,0,0,0,0,1,40039.583333333336,12,159619.41666666666,0,0,0,0
1,0.6982268317162931,0.03566073017102357,10,7,3,0,1,0,0,38705.6,5,-27454.6,0,0,0,0
0,0.22348611575777852,1.0,9,14,3,0,1,0,0,70839.95800000001,5,216158.83200000002,1,0,0,0
1,0.050184008029441285,0.7962446177109923,23,23,5,1,0,0,0,42392.916666666664,12,186343.08333333334,1,1,0,0
0,0.7738374038139846,0.023368147396565606,13,10,6,0,0,1,0,97798.47375,8,-90062.47375,0,0,0,0
1,0.5741050518568083,0.01967162961773145,17,1,4,1,0,0,0,10553.818181818182,11,-3874.818181818182,0,0,0,0
0,0.9344262295081966,0.03751423482833871,1,3,6,0,0,1,0,15194.166666666666,6,-3413.166666666666,0,1,0,0
1,0.19237203077952492,0.029960329055129832,9,24,6,0,1,0,0,61685.848750000005,8,-52064.848750000005,0,0,0,0
1,0.335898293743727,0.009491342716893003,5,19,1,1,0,0,0,50703.09090909091,11,-46935.09090909091,0,1,0,0
1,0.010705921712947474,0.012509407847577848,0,12,1,0,1,0,0,32003.0,13,-27372.0,0,1,0,0
1,0.8484442957510873,0.09355302469403272,7,1,4,0,0,0,1,19327.666666666668,6,8477.333333333332,0,0,0,0
1,0.8347273335563733,0.04880312734496753,8,25,0,0,0,1,0,49692.63636363636,11,-34683.63636363636,0,0,0,0
1,0.3947808631649381,0.028953141618701987,19,25,0,0,0,1,0,9991.0,6,-658.0,0,0,0,0
1,0.6574105051856808,0.042001114970480834,19,21,3,0,0,0,1,39981.0,8,-26917.0,0,0,0,0
1,0.5132151221144196,0.013600527570374683,3,7,3,0,0,1,0,9133.4,10,-4190.4,0,1,0,1
1,0.4225493476078956,0.02024516690791953,18,23,5,0,0,1,0,19165.555555555555,9,-12322.555555555555,0,0,0,0
1,0.2753429240548678,0.21606268818536611,12,5,1,0,1,0,0,54336.11111111111,9,8499.88888888889,0,0,0,0
1,0.9150217464034794,0.022479864032493822,0,24,6,0,0,0,1,12150.083333333334,12,-4668.083333333334,0,1,0,0
1,0.21445299431247908,0.006816001088881528,18,9,5,0,0,0,1,27673.0,9,-24670.0,0,0,0,0
0,0.3174974907995985,0.02035707662307818,20,7,3,0,0,0,1,10823.75,4,-3948.75,0,0,0,0
0,0.1445299431247909,0.01738097763557783,19,22,4,0,0,1,0,49901.38461538462,13,-43877.38461538462,0,0,0,0
1,0.5439946470391435,0.04421482902346288,6,11,0,0,0,0,1,16179.0,8,-2482.0,0,0,0,0
1,0.11876881900301103,0.027284987427118358,21,23,5,0,1,0,0,83002.4,5,-74146.4,0,0,0,0
0,0.18969555035128804,0.01412160718158215,8,24,6,0,1,0,0,60253.0,13,-55161.0,0,0,0,0
1,0.04115088658414186,0.010512518867715686,14,4,0,0,0,0,1,6566.428571428572,7,-2506.4285714285716,0,0,0,0
1,0.09702241552358648,0.031331223065823297,9,3,6,0,0,1,0,9502.444444444445,9,510.55555555555475,0,0,0,0
0,0.3445968551354968,0.03403104494402573,15,18,0,0,0,0,1,45149.2,5,-34364.2,0,0,0,0
1,0.11910337905654064,0.7603705596454475,15,11,0,0,0,1,0,57154.57142857143,7,161323.42857142858,0,0,0,1
1,0.2499163599866176,0.014985410295462978,13,1,4,0,0,0,1,29221.81818181818,11,-23882.81818181818,0,0,0,0
1,0.8330545332887253,0.026746421922917353,7,13,2,0,0,1,0,33075.230769230766,13,-24373.230769230766,0,0,0,0
1,0.49414519906323184,0.01164210755509831,21,20,2,0,0,0,1,4972.833333333333,6,-589.833333333333,0,0,0,0
1,0.1451990632318501,0.030834623704806788,17,1,4,0,1,0,0,23421.375,8,-13550.375,0,0,0,0
1,0.8216794914687187,0.026889806245464373,15,11,0,0,0,0,1,5984.4,5,2758.6000000000004,0,0,0,0
1,0.5212445633991302,0.027970434432465087,3,8,4,0,1,0,0,57932.11285714286,7,-48880.11285714286,0,1,0,0
0,0.3285379725660756,0.2354020858362203,15,20,2,0,0,1,0,35574.333333333336,6,32791.666666666664,0,0,0,0
0,0.08263633322181331,0.4841983657054916,12,6,2,0,0,0,1,32510.0,7,106998.0,0,0,0,0
1,0.6209434593509535,0.017583813994302883,15,3,6,0,0,0,1,22236.25,4,-16154.25,0,0,0,0
1,0.5968551354968217,0.02566579373591664,18,15,4,0,1,0,0,15685.285714285714,7,-7292.285714285714,0,0,0,0
1,0.9217129474740716,0.9310643498697773,16,23,5,0,1,0,0,73852.72375,8,193434.27625,1,0,0,0
1,0.5496821679491468,0.057549571020335775,0,15,4,0,1,0,0,78972.25,8,-61462.25,0,1,0,0
1,0.4958179993308799,0.03562575838503649,12,22,4,0,0,0,1,29414.0,8,-18173.0,0,0,0,0
1,0.3181666109066577,0.035971979066308564,17,21,3,0,1,0,0,7998.285714285715,7,3341.7142857142853,0,0,0,0
0,0.12445633991301439,0.00813793459919308,6,25,0,0,1,0,0,79004.6,5,-75623.6,0,0,0,0
1,0.8742054198728672,0.048991974989297755,1,15,4,0,0,0,1,11604.285714285714,7,3458.7142857142862,0,1,0,0
1,0.6356641017062562,0.034024050586828315,10,18,0,1,0,0,0,38215.583333333336,12,-27432.583333333336,0,0,0,0
1,0.9718969555035128,0.4089810484044839,15,12,1,1,0,0,0,34266.545454545456,11,83733.45454545454,0,0,0,0
1,0.0548678487788558,0.08048756544926032,1,2,5,0,0,0,1,21229.571428571428,7,2839.4285714285725,0,1,0,0
1,0.13951154232184676,0.07500748658508519,4,14,3,0,0,0,1,78833.375,8,-56331.375,0,1,0,0
1,0.19337571094011374,0.05813359984631998,10,19,1,0,0,0,1,46999.166666666664,6,-29322.166666666664,0,0,0,0
1,0.37872198059551687,0.018954708004996348,22,5,1,0,1,0,0,41857.0,8,-35383.0,0,1,0,0
1,0.6209434593509535,0.08594666124184322,0,18,0,0,1,0,0,22606.571428571428,7,3023.4285714285725,0,1,0,0
0,0.19437939110070257,0.07088081583860996,18,14,3,0,0,0,1,29107.6,10,-7785.5999999999985,0,0,0,0
0,0.031783205085312814,0.6076697533114696,18,5,1,0,1,0,0,31175.444444444445,9,143638.55555555556,0,0,0,0
1,0.8631649381063901,0.5020025019515131,14,14,3,0,0,0,1,49492.0,9,95107.0,0,0,0,0
1,0.27333556373369017,0.11665188933849782,23,10,6,0,0,0,1,24575.5,6,9834.5,0,1,0,0
1,0.19437939110070257,0.015373597119919546,17,19,1,0,0,0,1,7390.75,4,-1940.75,0,0,0,0
1,0.9240548678487789,0.5776045088983786,11,14,3,1,0,0,0,48486.5,4,117730.5,0,0,0,0
0,0.8879223820675811,0.03344002176084411,18,9,5,0,0,0,1,88907.66666666667,9,-78291.66666666667,0,0,0,1
1,0.3044496487119438,0.11979585289873615,10,10,6,0,0,0,1,36886.63636363636,11,-1577.6363636363603,0,0,0,0
0,0.8377383740381398,0.021371258416703447,5,4,0,0,0,0,1,45389.545454545456,11,-38224.545454545456,0,1,0,1
1,0.6159250585480094,0.7084094800258469,12,11,0,0,0,0,1,26893.454545454544,11,176726.54545454547,0,0,0,0
1,0.6590833054533288,0.022427406353513205,20,2,5,0,1,0,0,56708.166666666664,6,-49241.166666666664,0,0,0,0
0,0.4877885580461693,0.017370486099781708,9,20,2,0,1,0,0,93314.4,5,-87293.4,0,0,0,0
1,0.6841753094680495,0.018048938747931023,14,8,4,0,0,0,1,34266.545454545456,11,-28051.545454545456,0,0,0,0
1,0.9391100702576112,0.38716215112714586,13,16,5,0,0,1,0,98435.18181818182,11,13325.818181818177,0,0,0,0
1,0.7470725995316159,0.02704018492520881,21,19,1,0,0,1,0,64793.679000000004,10,-56007.679000000004,0,0,0,0
1,0.6252927400468384,0.3164422055040765,0,5,1,0,1,0,0,32843.166666666664,6,58695.833333333336,0,1,0,0
1,0.3626630980260957,1.0,19,4,0,0,1,0,0,45097.52636363637,11,241901.26363636367,1,0,0,0
0,0.14553362328537972,0.019678623974928863,23,17,6,0,1,0,0,70872.88888888889,9,-64191.88888888889,0,1,0,0
1,0.7129474740715959,0.0053541804346216625,1,5,1,0,1,0,0,59484.0,7,-56899.0,0,1,0,0
1,0.8126463700234192,0.7355790605592079,5,22,4,0,0,0,1,51006.2,5,160382.8,0,1,0,0
1,0.41318166610906654,0.10471951595970676,18,2,5,0,1,0,0,11784.5,8,19213.5,0,0,0,1
1,0.0030110404817664774,0.02285406214255556,19,19,1,0,0,1,0,19386.8,5,-11797.8,0,0,0,0
1,0.8798929407828705,0.011072067443508936,10,25,0,0,0,0,1,36737.75,8,-32517.75,0,0,0,0
1,0.616259618601539,0.03722396900464596,8,13,2,0,0,1,0,63747.36363636364,11,-52049.36363636364,0,0,0,0
0,0.696554031448645,0.01043907811714282,14,9,5,0,0,0,1,36642.8,10,-32603.800000000003,0,0,0,1
1,0.3007694881231181,0.011456757089366797,17,10,6,0,0,1,0,6806.25,4,-2476.25,0,0,0,0
1,0.4620274339243894,0.0377765232232418,21,16,5,0,0,1,0,34930.166666666664,6,-23074.166666666664,0,0,0,0
1,0.20675811308129807,0.3082308301543105,19,23,5,0,0,0,1,46451.5,4,42739.5,0,0,0,1
1,0.8440950150552023,0.7954052948473024,21,2,5,0,1,0,0,29221.81818181818,11,199274.18181818182,1,0,0,1
1,0.869187019069923,0.0154435406918937,1,16,5,1,0,0,0,26311.555555555555,9,-20841.555555555555,0,1,0,0
1,0.7193041150886584,0.008200883813969821,11,17,6,0,0,1,0,61685.848750000005,8,-58286.848750000005,0,0,0,0
1,0.8584810973569755,0.031736895783273406,2,9,5,0,0,1,0,73316.63636363637,11,-63187.63636363637,0,1,0,0
1,0.9056540649046504,0.05932963492707805,5,1,4,0,1,0,0,26729.9,10,-8710.900000000001,0,1,0,0
1,0.297423887587822,0.19263159157402376,7,5,1,0,1,0,0,30341.85714285714,7,25794.14285714286,0,0,0,0
1,0.2027433924389428,0.511434392632228,3,1,4,0,0,0,1,29414.0,8,117882.0,0,1,0,0
1,0.08798929407828705,0.9064896758566574,4,23,5,0,0,0,1,45590.0,12,214670.0,1,1,0,0
1,0.9474740715958514,0.007190199198943263,9,18,0,0,0,1,0,49901.38461538462,13,-46791.38461538462,0,0,0,0
1,0.2813650050184008,0.012635306277131327,3,20,2,0,0,1,0,23977.5,6,-19310.5,0,1,0,0
1,0.8651722984275677,0.04375320144843345,2,8,4,0,1,0,0,10300.142857142857,7,3264.857142857143,0,1,0,0
1,0.7862161257945801,0.02360595554127774,19,24,6,0,1,0,0,52408.125,8,-44604.125,0,0,0,1
1,0.7624623619939779,0.04424980080944996,4,21,3,0,0,0,1,21523.85714285714,7,-7816.857142857141,0,1,0,0
1,0.7755102040816326,0.018524555037355284,12,6,2,0,0,0,1,9502.444444444445,9,-3151.4444444444453,0,0,0,0
1,0.6978922716627635,0.03026808077181612,6,9,5,0,0,1,0,22713.75,8,-13004.75,0,0,0,0
1,0.3947808631649381,0.025854641380246863,10,8,4,0,0,0,1,27441.8,10,-18994.8,0,0,0,0
1,0.3596520575443292,0.01989195186945004,12,1,4,0,1,0,0,54212.09090909091,11,-47470.09090909091,0,0,0,0
1,0.03947808631649381,0.06586586172806295,23,15,4,0,1,0,0,32014.333333333332,6,-12126.333333333332,0,1,0,0
1,0.5493476078956172,0.30533866345317917,4,1,4,0,0,0,1,35574.333333333336,6,52789.666666666664,0,1,0,0
0,0.24054867848778855,0.007144735877160062,8,8,4,0,0,1,0,45836.39857142857,7,-42739.39857142857,0,0,0,0
1,0.907661425225828,0.0370176354673222,15,8,4,0,0,1,0,26236.75,12,-14597.75,0,0,0,0
1,0.5801271328203412,0.044102919308304234,10,6,2,0,1,0,0,10300.142857142857,7,3364.857142857143,0,0,0,1
0,0.0548678487788558,0.010110343328864287,19,16,5,0,0,0,1,14972.833333333334,6,-11027.833333333334,0,0,0,0
1,0.8989628638340582,0.06813203346002562,17,20,2,0,0,0,1,59484.0,7,-38948.0,0,0,0,1
0,0.5296085647373704,0.06354373513852098,19,25,0,0,0,0,1,33604.07692307692,13,-14380.076923076922,0,0,0,0
1,0.30344596855135497,0.757660246231449,11,15,4,0,0,0,1,44392.142857142855,7,173310.85714285716,0,0,0,0
1,0.805955168952827,0.03184530831983334,1,9,5,0,0,0,1,55236.857142857145,7,-45076.857142857145,0,1,0,0
0,0.16627634660421545,0.05086646271820514,0,12,1,0,0,1,0,49033.83,13,-33434.83,0,1,0,0
0,0.0742723318835731,0.00800853899104089,1,19,1,0,0,0,1,50731.98090909091,11,-47387.98090909091,0,1,0,0
1,0.9247239879558381,0.005857774152835587,0,7,3,0,0,0,1,47014.857142857145,7,-44285.857142857145,0,1,0,0
1,0.19237203077952492,0.03794089061738106,11,10,6,0,0,0,1,13939.6,5,-2036.6000000000004,0,0,0,0
1,0.322181331549013,0.014586731935210286,11,11,0,0,0,0,1,51849.2,5,-46624.2,0,0,0,0
1,0.45901639344262296,0.030922053169774484,6,19,1,0,0,1,0,13414.57142857143,7,-3518.5714285714294,0,0,0,0
1,0.20642355302776846,0.010995129514337364,15,3,6,0,0,0,1,20249.0,11,-16051.0,0,0,0,0
1,0.33087989294078285,0.3974823251719326,8,2,5,0,0,0,1,37486.9,10,77225.1,0,0,0,0
1,0.3643358982937437,0.475850600390376,9,15,4,0,1,0,0,41547.25,8,95573.75,0,0,0,1
0,0.7052525928404149,0.04320414440843632,12,22,4,0,0,0,1,52101.0,5,-38693.0,0,0,0,1
1,0.17631314821010372,0.04187171936232865,23,8,4,0,1,0,0,36886.63636363636,11,-23859.63636363636,0,1,0,0
1,0.8079625292740047,0.11557825550869452,3,5,1,0,1,0,0,55725.77777777778,9,-21622.77777777778,0,1,0,0
1,0.6155904984944798,0.04084354885430855,6,23,5,0,0,1,0,16482.166666666668,12,-3749.166666666668,0,0,0,0
1,0.5747741719638675,0.06023190700554467,14,19,1,0,1,0,0,59942.125,8,-41665.125,0,0,0,0
1,0.742723318835731,0.05476581685576435,16,19,1,0,0,1,0,55671.28571428572,7,-38957.28571428572,0,0,0,0
1,0.7771830043492807,0.03184530831983334,17,10,6,0,1,0,0,53362.4,10,-43202.4,0,0,0,0
1,0.012378721980595517,0.05257658305297326,15,9,5,0,1,0,0,43719.333333333336,3,-27631.333333333336,0,0,0,0
1,0.788892606222817,0.04874017813019079,13,8,4,0,1,0,0,12027.0,9,2964.0,0,0,0,0
1,0.8979591836734694,0.010634920118670458,2,23,5,0,0,0,1,92931.0,3,-88836.0,0,1,0,0
0,0.14988290398126464,0.020098285406773803,23,7,3,0,0,0,1,25767.0,6,-18966.0,0,1,0,0
1,0.3626630980260957,0.02499783262356345,4,3,6,0,1,0,0,67025.66666666667,9,-58823.66666666667,0,1,0,0
1,0.7152893944463031,0.0202311781935247,12,18,0,0,0,0,1,50703.09090909091,11,-43864.09090909091,0,0,0,0
1,0.07661425225828035,0.01831122714283411,8,20,2,0,0,0,1,11079.0,7,-4789.0,0,0,0,0
1,0.6600869856139177,0.024214464617452896,14,14,3,0,0,1,0,50983.375,8,-43005.375,0,0,0,0
1,0.8849113415858146,0.019468793259006394,11,2,5,0,1,0,0,40550.357142857145,14,-33929.357142857145,0,0,0,0
1,0.30210772833723654,0.052824882733481515,19,20,2,0,0,0,1,44247.333333333336,6,-28088.333333333336,0,0,0,0
1,0.9826028772164603,0.010040399756890132,20,5,1,0,0,0,1,34857.444444444445,9,-30932.444444444445,0,0,0,0
1,0.4630311140849782,0.002524962948267041,5,4,0,0,1,0,0,29221.81818181818,11,-27445.81818181818,0,1,0,0
1,0.25493476078956173,0.0060466217971658085,15,14,3,0,0,1,0,25350.333333333332,6,-22567.333333333332,0,0,0,0
1,0.5744396119103379,0.04490377320740832,8,18,0,0,0,0,1,10244.0,5,3650.0,0,0,0,0
1,0.9815991970558715,0.019580702974165046,7,25,0,0,0,1,0,35536.454545454544,11,-28883.454545454544,0,0,0,0
1,0.4416192706590833,0.05638501054696607,7,1,4,1,0,0,0,50837.232500000006,12,-33660.232500000006,0,0,0,0
0,0.2261625961860154,0.07371353050356329,16,25,0,1,0,0,0,33774.22222222222,9,-11642.222222222219,0,0,0,0
1,0.11575777852124455,0.42161985186021395,21,20,2,0,0,0,1,86191.6,10,35422.399999999994,0,0,0,0
1,0.8166610906657745,0.035237571560579925,2,7,3,0,0,0,1,20249.0,11,-9119.0,0,1,0,0
1,0.405152224824356,0.02119989666536676,16,3,6,1,0,0,0,8157.8,10,-1041.8000000000002,0,0,0,0
1,0.5232519237203078,0.03107592902811763,20,17,6,0,0,1,0,27560.2,10,-17620.2,0,0,0,0
1,0.9079959852793577,0.2668207383670113,8,11,0,0,1,0,0,20385.8,5,56964.2,0,0,0,0
1,0.10705921712947473,0.0278865021460961,4,4,0,0,0,0,1,18316.444444444445,9,-9288.444444444445,0,1,0,0
0,0.8792238206758113,0.027438863285461502,11,7,3,0,0,0,1,62296.857142857145,7,-53396.857142857145,0,0,0,0
1,0.43258614921378385,0.01168757087688151,0,16,5,0,0,1,0,5984.4,5,-1588.3999999999996,0,1,0,1
1,0.8591502174640347,0.01099862669293607,21,10,6,0,0,0,1,73083.0,8,-68884.0,0,0,0,0
1,0.41418534626965536,0.04106736828462585,1,21,3,0,0,0,1,86191.6,10,-73394.6,0,1,0,0
1,0.8725326196052191,0.025459460198592878,23,7,3,0,1,0,0,13842.0,7,-5508.0,0,1,0,0
1,0.6068919371027099,0.04636209668306948,6,2,5,0,0,0,1,14958.5,2,-647.5,0,0,0,0
1,0.33757109401137503,0.06593230812143841,22,10,6,0,0,1,0,10487.222222222223,9,9419.777777777777,0,1,0,0
1,0.9812646370023419,0.20969082877852047,7,8,4,0,0,1,0,36626.75,8,24387.25,0,0,0,0
1,0.5981933757109401,0.03539494459752177,6,18,0,0,0,1,0,53346.4,10,-42171.4,0,0,0,0
1,0.3917698226831716,0.8014624081802644,4,4,0,1,0,0,0,72961.0,9,157267.0,1,1,0,0
1,0.664101706256273,0.6505276770386339,1,7,3,0,0,0,1,97417.5,2,89651.5,0,1,0,0
1,0.9501505520240883,0.015541461692657521,13,4,0,0,1,0,0,10553.818181818182,11,-5055.818181818182,0,0,0,0
1,0.6644362663098026,0.027162586176163583,11,18,0,0,0,1,0,28383.444444444445,9,-19562.444444444445,0,0,0,0
1,0.2315155570424891,0.21921714328140054,9,25,0,0,1,0,0,29520.545454545456,11,34217.454545454544,0,0,0,0
1,0.2191368350618936,0.022885536749943928,10,22,4,0,1,0,0,15524.5,8,-7926.5,0,0,0,0
1,0.33489461358313816,0.07593773609234146,23,10,6,0,1,0,0,19073.833333333332,6,3694.166666666668,0,1,0,0
1,0.48377383740381397,0.1923832918935155,15,15,4,0,0,1,0,21229.571428571428,7,34835.42857142857,0,0,0,0
0,0.6523921043827366,0.01845461146538113,9,15,4,0,1,0,0,27210.777777777777,9,-20879.777777777777,0,0,0,1
1,0.990632318501171,0.07493054865591361,1,22,4,0,1,0,0,37486.9,10,-15006.900000000001,0,1,0,0
0,0.27634660421545665,0.015793258551764482,7,20,2,0,1,0,0,67223.57142857143,7,-61653.571428571435,0,0,0,1
1,0.9146871863499498,0.7640600830670843,5,6,2,0,1,0,0,84732.5,8,134800.5,0,1,0,0
1,0.6155904984944798,0.005850779795638171,23,17,6,0,0,0,1,88907.66666666667,9,-86180.66666666667,0,1,0,0
1,0.8143191702910673,0.006595678837162936,4,17,6,0,0,0,1,12150.083333333334,12,-9210.083333333334,0,1,0,0
1,0.8815657410505185,0.012946555172416323,9,12,1,0,0,0,1,40027.25,8,-35271.25,0,0,0,0
1,0.9504851120776179,0.11157398601317407,22,25,0,0,1,0,0,45373.0,9,-12415.0,0,1,0,0
1,0.1793241886918702,0.02147617377466468,23,21,3,0,0,0,1,32558.315833333338,12,-25363.315833333338,0,1,0,0
1,0.30210772833723654,0.013904782108462264,5,19,1,0,1,0,0,50576.6,10,-45546.6,0,1,0,1
0,1.0,0.035213091310388966,5,3,6,1,0,0,0,27332.555555555555,9,-16209.555555555555,0,1,0,0
1,0.5540314486450317,1.0,20,12,1,0,1,0,0,77160.69750000001,4,209838.09250000003,1,0,0,0
1,0.15122114419538307,0.04533392617504938,19,20,2,0,0,0,1,20920.0,9,-6903.0,0,0,0,0
1,0.6212780194044831,0.05415031342239178,4,10,6,1,0,0,0,56916.545454545456,11,-40378.545454545456,0,1,0,0
1,0.03613248578119773,0.05071958121705941,4,22,4,0,1,0,0,24575.5,6,-9018.5,0,1,0,0
1,0.2934091669454667,0.07665116052647786,2,18,0,0,1,0,0,27673.0,9,-4701.0,0,1,0,0
